1658973300000,22779.51000000,22784.56000000,22751.61000000,22775.69000000,313.27806000,1658973599999,7132984.78100530,12825,159.78628000,3638306.21838780,0
1658973600000,22775.69000000,22781.28000000,22743.61000000,22750.08000000,263.38552000,1658973899999,5994655.51853210,11552,122.99065000,2799386.40484400,0
1658973900000,22749.74000000,22758.49000000,22701.44000000,22729.74000000,417.56041000,1658974199999,9493233.78844390,14591,196.64591000,4470985.16888070,0
1658974200000,22729.74000000,22768.97000000,22725.44000000,22744.10000000,294.99612000,1658974499999,6711536.74610320,12072,150.61869000,3426877.62368770,0
1658974500000,22744.10000000,22759.26000000,22730.31000000,22737.49000000,303.33326000,1658974799999,6898848.07727430,12429,149.82227000,3407557.41419190,0
1658974800000,22738.62000000,22743.88000000,22722.37000000,22728.85000000,228.88496000,1658975099999,5203930.63929010,10899,101.15972000,2300057.88731020,0
1658975100000,22728.85000000,22746.48000000,22725.00000000,22734.84000000,294.92319000,1658975399999,6704553.89746640,11820,148.85190000,3383966.84125040,0
1658975400000,22733.99000000,22782.00000000,22732.36000000,22776.57000000,338.34334000,1658975699999,7700330.71543600,13867,195.90435000,4458494.43100800,0
1658975700000,22778.22000000,22839.57000000,22776.54000000,22823.42000000,833.11941000,1658975999999,19004394.42482770,22973,431.96493000,9853803.03810560,0
1658976000000,22823.42000000,22957.88000000,22793.23000000,22938.07000000,1208.53284000,1658976299999,27652225.20723070,29405,675.20367000,15451601.73915920,0
1658976300000,22940.96000000,23437.00000000,22937.81000000,23391.28000000,5580.69536000,1658976599999,129570253.44279940,85657,2443.09605000,56761439.66914020,0
1658976600000,23392.36000000,23460.58000000,23340.28000000,23417.45000000,1878.87002000,1658976899999,43961775.64063370,46711,992.23294000,23217532.40948560,0
1658976900000,23411.44000000,23417.47000000,23259.16000000,23282.54000000,2265.29200000,1658977199999,52804839.74406090,42513,1275.39797000,29728861.35886440,0
1658977200000,23282.54000000,23322.49000000,23213.30000000,23235.31000000,1065.03535000,1658977499999,24783823.38440130,30158,532.71155000,12398020.75163640,0
1658977500000,23235.31000000,23300.00000000,23223.12000000,23255.36000000,1206.05014000,1658977799999,28053613.02229610,24706,500.25868000,11637194.74558300,0
1658977800000,23258.65000000,23278.00000000,23220.01000000,23239.72000000,566.00162000,1658978099999,13155903.16526110,17323,237.15831000,5512703.61344630,0
1658978100000,23240.22000000,23305.00000000,23218.32000000,23278.92000000,645.69318000,1658978399999,15021159.27058560,19101,316.24494000,7357873.29323600,0
1658978400000,23278.92000000,23290.58000000,23245.79000000,23261.48000000,609.14993000,1658978699999,14175065.89062130,19157,282.11461000,6564911.83609170,0
1658978700000,23261.87000000,23290.74000000,23186.26000000,23188.83000000,588.09652000,1658978999999,13668785.86163890,19862,272.95424000,6344406.88998910,0
1658979000000,23187.39000000,23192.85000000,23117.87000000,23159.54000000,745.35524000,1658979299999,17255240.69164290,23506,362.72629000,8397516.93244060,0
1658979300000,23159.54000000,23170.21000000,23126.01000000,23142.12000000,430.02400000,1658979599999,9954447.91883840,14506,226.01294000,5232155.54712870,0
1658979600000,23142.12000000,23147.41000000,23096.88000000,23123.56000000,723.27380000,1658979899999,16722542.39742580,20751,367.50368000,8497276.97284830,0
1658979900000,23123.56000000,23163.31000000,23118.30000000,23135.08000000,503.12736000,1658980199999,11640620.03802730,17511,258.84189000,5988860.58171400,0
1658980200000,23137.77000000,23163.92000000,23125.34000000,23131.56000000,404.47676000,1658980499999,9359463.12078160,14165,180.43098000,4175292.83736400,0
1658980500000,23131.56000000,23154.48000000,23110.45000000,23133.45000000,450.32534000,1658980799999,10417665.63458630,15654,214.41962000,4960539.67234560,0
1658980800000,23133.45000000,23196.09000000,23126.00000000,23183.98000000,568.03855000,1658981099999,13153009.82307090,17255,347.75549000,8053088.44130610,0
1658981100000,23182.86000000,23189.64000000,23090.56000000,23098.03000000,1067.42659000,1658981399999,24696711.39799900,19420,403.87645000,9344855.86161040,0
1658981400000,23098.03000000,23124.00000000,23073.87000000,23119.94000000,562.54633000,1658981699999,12993669.33247510,18596,263.52710000,6086967.83778570,0
1658981700000,23118.45000000,23155.53000000,23112.00000000,23147.42000000,395.06570000,1658981999999,9140432.58334270,13704,215.30032000,4981452.05937320,0
1658982000000,23146.67000000,23155.09000000,23126.46000000,23140.51000000,364.99299000,1658982299999,8447500.23181290,13075,195.26075000,4519352.42577240,0
1658982300000,23139.28000000,23171.22000000,23133.18000000,23170.59000000,335.68584000,1658982599999,7771720.15393980,12465,179.14414000,4147608.62417330,0
1658982600000,23170.54000000,23179.53000000,23145.00000000,23148.52000000,323.74818000,1658982899999,7497653.39373020,11941,149.92935000,3472236.41045380,0
1658982900000,23148.52000000,23152.66000000,23105.02000000,23119.32000000,405.94113000,1658983199999,9387029.81704950,13586,205.24065000,4745946.55204310,0
1658983200000,23119.33000000,23139.94000000,23105.20000000,23117.94000000,420.60927000,1658983499999,9725525.72902410,13816,235.24841000,5439737.28669530,0
1658983500000,23120.04000000,23144.58000000,23087.96000000,23129.25000000,519.73930000,1658983799999,12013423.41328930,15945,273.36529000,6319122.29672550,0
1658983800000,23127.19000000,23135.53000000,23083.93000000,23088.36000000,333.46599000,1658984099999,7703534.52927780,13241,151.04858000,3489388.08185670,0
1658984100000,23088.37000000,23098.00000000,23056.99000000,23066.63000000,429.20000000,1658984399999,9906201.79259560,14985,185.47436000,4281004.83216620,0
1658984400000,23067.86000000,23077.77000000,23038.58000000,23077.24000000,516.38389000,1658984699999,11906852.61746930,16867,260.47315000,6006350.75775800,0
1658984700000,23076.02000000,23084.18000000,23058.76000000,23070.07000000,285.45340000,1658984999999,6586000.87925390,11246,132.30887000,3052732.64068690,0
1658985000000,23070.07000000,23087.90000000,23032.00000000,23039.52000000,386.93257000,1658985299999,8927220.23044240,13587,181.63848000,4191006.46711070,0
1658985300000,23039.49000000,23062.57000000,23033.80000000,23049.65000000,575.80778000,1658985599999,13270292.77671780,15806,274.65839000,6330182.81737850,0
1658985600000,23047.58000000,23095.00000000,23034.53000000,23091.27000000,576.96039000,1658985899999,13308736.64136670,16549,327.53212000,7555817.35673720,0
1658985900000,23092.80000000,23111.99000000,23085.27000000,23096.19000000,428.03804000,1658986199999,9887932.17646240,13555,203.66107000,4704743.20367520,0
1658986200000,23097.52000000,23188.73000000,23096.19000000,23186.73000000,750.65808000,1658986499999,17375450.51968830,19562,488.53472000,11308685.75590190,0
1658986500000,23186.38000000,23190.44000000,23150.41000000,23170.10000000,478.94705000,1658986799999,11096386.88042230,15634,213.44972000,4945461.90737000,0
1658986800000,23168.05000000,23202.22000000,23164.49000000,23195.00000000,473.08375000,1658987099999,10968371.48725180,15070,227.17355000,5267241.95017760,0
1658987100000,23196.95000000,23198.82000000,23159.00000000,23173.40000000,358.98057000,1658987399999,8318685.30108650,12553,175.42328000,4065100.77003770,0
1658987400000,23173.28000000,23256.41000000,23153.64000000,23229.11000000,579.56336000,1658987699999,13446797.29658050,15599,359.39613000,8339929.91611420,0
1658987700000,23228.43000000,23257.11000000,23199.48000000,23242.79000000,689.23332000,1658987999999,16011058.18188390,18402,322.41687000,7489985.86554640,0
1658988000000,23242.79000000,23273.81000000,23190.01000000,23195.15000000,776.49806000,1658988299999,18031466.05415330,19318,440.87383000,10237235.24703710,0
1658988300000,23196.30000000,23201.00000000,23176.13000000,23181.35000000,347.53808000,1658988599999,8058214.94429160,12301,160.84803000,3729666.87632310,0
1658988600000,23181.35000000,23184.33000000,23146.94000000,23158.66000000,525.19349000,1658988899999,12165019.87435390,12854,253.68018000,5875635.02902560,0
1658988900000,23158.94000000,23181.19000000,23141.27000000,23172.13000000,442.03226000,1658989199999,10237647.35710410,14255,226.55014000,5247151.82295190,0
1658989200000,23171.20000000,23189.04000000,23154.39000000,23167.02000000,365.80862000,1658989499999,8475697.08871980,12743,166.86022000,3866217.17165640,0
1658989500000,23165.66000000,23168.32000000,23139.50000000,23159.75000000,412.11795000,1658989799999,9540662.07866750,12551,203.33123000,4707257.91349100,0
1658989800000,23159.75000000,23171.71000000,23139.11000000,23141.81000000,329.78691000,1658990099999,7636107.04242300,11984,159.78510000,3699830.64656940,0
1658990100000,23141.81000000,23172.34000000,23141.62000000,23154.26000000,334.55220000,1658990399999,7747112.29037330,12529,172.82435000,4002094.02393370,0
1658990400000,23156.09000000,23169.48000000,23141.33000000,23164.06000000,278.74814000,1658990699999,6454278.09303650,11018,134.66160000,3118090.67218080,0
1658990700000,23165.29000000,23215.00000000,23143.02000000,23200.00000000,743.20965000,1658990999999,17222953.93406230,17409,322.50209000,7474162.75587240,0
1658991000000,23198.59000000,23231.13000000,23171.60000000,23179.01000000,485.99768000,1658991299999,11273970.67544880,15424,274.98423000,6379528.03035320,0
1658991300000,23180.90000000,23183.06000000,23047.79000000,23124.86000000,966.48290000,1658991599999,22325326.38365150,24785,379.82440000,8772703.14862370,0
1658991600000,23122.37000000,23125.77000000,23000.00000000,23016.79000000,818.23587000,1658991899999,18869158.78683790,22181,326.95179000,7542362.07395510,0
1658991900000,23016.79000000,23042.96000000,22972.53000000,23013.65000000,779.00834000,1658992199999,17927837.71560130,21732,332.76044000,7658282.50408990,0
1658992200000,23013.65000000,23056.70000000,23003.66000000,23039.38000000,488.45697000,1658992499999,11250853.14719600,17140,255.58104000,5887185.29924670,0
1658992500000,23038.03000000,23043.77000000,22954.60000000,23013.93000000,748.62213000,1658992799999,17215277.76922390,22161,337.11698000,7753269.87254130,0
1658992800000,23008.57000000,23016.73000000,22978.17000000,22982.19000000,496.44464000,1658993099999,11416078.43740280,17696,248.14500000,5706311.28856130,0
1658993100000,22982.19000000,22988.64000000,22948.05000000,22955.45000000,476.97665000,1658993399999,10954057.45078830,17142,228.10954000,5238909.06379710,0
1658993400000,22955.45000000,22960.30000000,22887.00000000,22903.45000000,919.17455000,1658993699999,21065435.67992610,25070,425.86456000,9759521.20832360,0
1658993700000,22903.45000000,22944.44000000,22893.01000000,22938.41000000,508.41840000,1658993999999,11651713.36236070,17008,255.83073000,5863209.82723400,0
1658994000000,22937.15000000,22980.89000000,22935.46000000,22943.25000000,629.05502000,1658994299999,14444565.47886800,20522,351.07879000,8061971.04878520,0
1658994300000,22942.24000000,22956.00000000,22920.30000000,22936.09000000,530.34901000,1658994599999,12166824.19086410,17250,289.36679000,6638539.70958220,0
1658994600000,22934.28000000,22947.36000000,22911.39000000,22940.74000000,525.84268000,1658994899999,12058330.78905820,18011,273.62920000,6275154.59022570,0
1658994900000,22940.17000000,22941.31000000,22901.00000000,22925.10000000,524.90280000,1658995199999,12029412.31371120,17823,252.88204000,5795609.63391510,0
1658995200000,22925.10000000,22936.77000000,22888.02000000,22913.30000000,581.73122000,1658995499999,13328753.49550820,19951,294.53386000,6748440.94841810,0
1658995500000,22911.40000000,22928.00000000,22884.30000000,22892.70000000,383.77506000,1658995799999,8789672.65611290,15571,183.28510000,4197801.83518080,0
1658995800000,22891.69000000,22900.00000000,22871.06000000,22882.16000000,541.29602000,1658996099999,12387825.68277580,16987,292.19445000,6687290.85969330,0
1658996100000,22881.65000000,22980.00000000,22877.43000000,22940.49000000,684.65463000,1658996399999,15695753.76727120,19140,364.56059000,8357278.71824300,0
1658996400000,22940.49000000,22967.97000000,22938.89000000,22956.99000000,402.59638000,1658996699999,9242001.70027100,14549,200.00354000,4591416.93722720,0
1658996700000,22956.99000000,22970.00000000,22938.50000000,22945.31000000,287.79522000,1658996999999,6605059.98872450,12241,138.77364000,3185067.98087280,0
1658997000000,22944.21000000,22945.47000000,22895.12000000,22914.19000000,440.46795000,1658997299999,10093449.02532320,16232,230.99894000,5293462.48703660,0
1658997300000,22912.35000000,22986.81000000,22912.15000000,22968.74000000,390.27777000,1658997599999,8955292.64349110,14466,205.38373000,4712958.40537290,0
1658997600000,22968.75000000,22972.64000000,22928.89000000,22948.10000000,370.50909000,1658997899999,8501471.76504740,13851,181.51091000,4165059.24262530,0
1658997900000,22948.10000000,23028.68000000,22942.00000000,22987.85000000,580.03222000,1658998199999,13333418.65207790,17073,322.53256000,7414504.65167770,0
1658998200000,22987.85000000,22993.48000000,22950.00000000,22980.00000000,418.90245000,1658998499999,9623450.15910740,14236,214.66822000,4931763.79335290,0
1658998500000,22980.00000000,22982.18000000,22932.01000000,22965.67000000,552.97492000,1658998799999,12696605.96510460,19655,283.53624000,6510449.28566810,0
1658998800000,22963.68000000,23008.58000000,22955.99000000,22995.91000000,431.34015000,1658999099999,9912155.70491210,20098,237.62194000,5460877.22878060,0
1658999100000,22995.91000000,22996.69000000,22918.00000000,22936.92000000,486.73194000,1658999399999,11171157.95104890,16933,226.26606000,5193368.27325500,0
1658999400000,22938.56000000,22940.99000000,22909.80000000,22930.66000000,380.22269000,1658999699999,8715561.96257200,14252,181.64371000,4163804.04804770,0
1658999700000,22929.96000000,22949.85000000,22877.92000000,22890.98000000,782.82475000,1658999999999,17934103.72740470,18168,419.54335000,9611733.67738250,0
1659000000000,22889.48000000,22909.70000000,22816.26000000,22902.66000000,1018.33809000,1659000299999,23286850.19377580,28027,503.81553000,11522440.15965730,0
1659000300000,22902.66000000,22915.73000000,22849.02000000,22871.46000000,606.17273000,1659000599999,13871657.70592460,21146,295.79140000,6768633.15885420,0
1659000600000,22871.46000000,22888.53000000,22846.69000000,22887.42000000,487.66950000,1659000899999,11152235.03301340,16133,234.05184000,5352287.50840660,0
1659000900000,22885.35000000,22942.95000000,22859.83000000,22939.60000000,839.16644000,1659001199999,19220398.73882060,23415,450.21970000,10312477.23886620,0
1659001200000,22938.14000000,22969.15000000,22928.62000000,22967.14000000,454.39637000,1659001499999,10427444.14594420,17253,241.79813000,5549010.01067660,0
1659001500000,22967.08000000,22980.00000000,22935.10000000,22947.18000000,402.40077000,1659001799999,9236886.20089840,16142,200.29075000,4597738.93911960,0
1659001800000,22945.54000000,22957.07000000,22930.83000000,22933.46000000,341.58777000,1659002099999,7837137.55286920,14436,179.01084000,4107209.95936510,0
1659002100000,22932.94000000,22988.99000000,22930.56000000,22978.45000000,417.24029000,1659002399999,9579490.78895700,16037,231.93415000,5325094.32441320,0
1659002400000,22978.45000000,22991.22000000,22958.89000000,22976.71000000,366.51309000,1659002699999,8420752.54186760,14435,178.58410000,4103093.32208690,0
1659002700000,22976.71000000,22986.82000000,22953.82000000,22970.76000000,311.42742000,1659002999999,7153351.62455910,12553,152.67465000,3507022.92409730,0
1659003000000,22972.66000000,22981.74000000,22961.19000000,22972.17000000,232.28928000,1659003299999,5335357.24802410,11441,119.77093000,2751037.22383120,0
1659003300000,22972.17000000,22979.53000000,22928.99000000,22954.66000000,351.15969000,1659003599999,8059474.63415160,14050,163.17871000,3745047.60171070,0
1659003600000,22955.00000000,23061.24000000,22939.66000000,22941.57000000,915.61564000,1659003899999,21067347.54245760,26500,496.68479000,11427967.38800930,0
1659003900000,22941.57000000,23009.88000000,22911.00000000,22998.14000000,505.20926000,1659004199999,11603379.92250310,19213,254.03565000,5834916.28556430,0
1659004200000,22995.58000000,23050.00000000,22958.96000000,23044.45000000,510.20016000,1659004499999,11736433.08318260,18260,282.88144000,6507790.38086880,0
1659004500000,23044.45000000,23100.00000000,23030.00000000,23040.44000000,757.46812000,1659004799999,17467484.95418540,24345,398.63496000,9193607.78614280,0
1659004800000,23039.15000000,23050.13000000,23023.27000000,23036.32000000,342.43969000,1659005099999,7888874.00217220,14062,173.64629000,4000432.86467820,0
1659005100000,23034.96000000,23036.60000000,22973.24000000,23027.65000000,631.85923000,1659005399999,14537015.23137290,21072,299.72680000,6896096.64492990,0
1659005400000,23027.68000000,23028.59000000,22989.53000000,22994.81000000,364.19435000,1659005699999,8378066.11918030,14884,182.05826000,4188228.36620780,0
1659005700000,22995.57000000,22998.76000000,22950.00000000,22979.17000000,426.74064000,1659005999999,9804402.99044020,16690,209.02955000,4802471.77494100,0
1659006000000,22981.61000000,23035.00000000,22964.53000000,23015.20000000,488.80181000,1659006299999,11242837.97885020,17843,245.32919000,5642763.86426230,0
1659006300000,23015.20000000,23017.16000000,22976.88000000,23005.63000000,323.14073000,1659006599999,7432837.33644100,14246,146.65021000,3373291.66007550,0
1659006600000,23005.63000000,23021.83000000,22976.67000000,22999.82000000,327.16853000,1659006899999,7524442.14329200,13751,157.55413000,3623491.72891180,0
1659006900000,22999.82000000,23039.99000000,22991.35000000,23028.94000000,407.21605000,1659007199999,9372708.76461800,15474,202.59863000,4663331.95479950,0
1659007200000,23028.94000000,23047.93000000,23010.23000000,23030.29000000,387.08856000,1659007499999,8912924.20058100,14307,182.95804000,4212771.73263010,0
1659007500000,23028.92000000,23049.40000000,23014.74000000,23045.53000000,373.21926000,1659007799999,8595937.40114790,14331,202.60705000,4666590.37240080,0
1659007800000,23044.80000000,23053.48000000,23020.36000000,23025.49000000,486.16108000,1659008099999,11199332.57063430,15470,246.41932000,5676997.35781450,0
1659008100000,23023.99000000,23085.15000000,22956.32000000,23045.56000000,1399.39719000,1659008399999,32222095.36796370,28214,551.28866000,12694796.07433940,0
1659008400000,23044.55000000,23091.92000000,23037.08000000,23089.97000000,656.47660000,1659008699999,15147541.00700670,21674,339.09713000,7824546.17255800,0
1659008700000,23089.97000000,23138.28000000,23075.00000000,23088.77000000,861.81295000,1659008999999,19920169.96835020,24957,446.10092000,10311518.11252610,0
1659009000000,23088.77000000,23117.00000000,23064.61000000,23094.76000000,623.87109000,1659009299999,14402800.65125550,19873,260.40782000,6011965.04722170,0
1659009300000,23094.76000000,23124.31000000,23086.01000000,23114.52000000,608.15527000,1659009599999,14051644.04080740,20059,334.29239000,7724206.33425100,0
1659009600000,23116.19000000,23120.00000000,23073.78000000,23079.67000000,528.46596000,1659009899999,12206315.09598200,17480,248.38319000,5737386.59453150,0
1659009900000,23077.49000000,23135.00000000,23035.04000000,23064.02000000,640.52599000,1659010199999,14789533.67027250,21262,337.91582000,7803586.67991190,0
1659010200000,23062.97000000,23100.00000000,23030.03000000,23047.48000000,582.08962000,1659010499999,13421936.19778730,20463,294.46819000,6790136.10708360,0
1659010500000,23045.00000000,23049.26000000,23005.00000000,23034.89000000,486.56219000,1659010799999,11204682.11793930,18520,247.97193000,5710687.45572370,0
1659010800000,23036.53000000,23039.22000000,22931.93000000,22955.71000000,946.00439000,1659011099999,21752418.08591950,26348,395.28817000,9090008.47850420,0
1659011100000,22955.71000000,23036.05000000,22873.37000000,23035.43000000,1038.14397000,1659011399999,23812195.20901150,31472,482.34491000,11066075.06489540,0
1659011400000,23037.98000000,23082.91000000,22582.13000000,22824.34000000,4772.34887000,1659011699999,108656831.89794970,95459,2423.61727000,55204675.14181750,0
1659011700000,22824.34000000,23002.15000000,22734.66000000,22773.73000000,2855.80235000,1659011999999,65291201.08846970,60714,1289.32550000,29482995.72204020,0
1659012000000,22773.73000000,22942.09000000,22771.45000000,22926.65000000,1701.13064000,1659012299999,38896046.24601500,42819,882.07555000,20167770.78992440,0
1659012300000,22926.65000000,23200.00000000,22917.72000000,23115.31000000,2511.20529000,1659012599999,57918306.58217420,56996,1390.67476000,32078237.27100420,0
1659012600000,23112.43000000,23195.27000000,23080.81000000,23134.53000000,1543.07003000,1659012899999,35709925.37086620,41535,757.38174000,17527823.07948680,0
1659012900000,23134.53000000,23140.92000000,23006.12000000,23034.04000000,1318.85695000,1659013199999,30421070.45466140,36774,646.96720000,14923676.68703110,0
1659013200000,23034.04000000,23061.98000000,22918.67000000,22948.11000000,1304.58036000,1659013499999,29989076.79099320,36131,612.05786000,14071206.29460780,0
1659013500000,22948.11000000,23043.12000000,22941.20000000,22974.54000000,1059.92117000,1659013799999,24372119.95081830,27575,522.38011000,12012966.86963460,0
1659013800000,22974.49000000,23064.85000000,22970.00000000,23057.88000000,861.34441000,1659014099999,19824183.95570710,25211,469.32130000,10802833.00347930,0
1659014100000,23057.88000000,23125.95000000,23019.86000000,23102.52000000,1351.63755000,1659014399999,31207378.48799050,31391,807.90728000,18653978.52431660,0
1659014400000,23102.52000000,23121.94000000,23059.73000000,23094.11000000,1027.14011000,1659014699999,23719162.47145200,24783,487.96095000,11269792.98426780,0
1659014700000,23097.38000000,23173.00000000,23062.19000000,23142.88000000,1290.77492000,1659014999999,29839012.33399950,32699,750.40085000,17345023.22969730,0
1659015000000,23146.44000000,23255.53000000,23087.00000000,23203.66000000,2150.51343000,1659015299999,49880479.04131350,52599,1095.12469000,25402734.91683430,0
1659015300000,23203.66000000,23268.29000000,23128.23000000,23133.09000000,1584.48718000,1659015599999,36783980.00517610,41703,784.50212000,18214664.46259980,0
1659015600000,23132.45000000,23157.73000000,22960.66000000,23000.48000000,1882.45492000,1659015899999,43440662.99839720,47884,841.92838000,19435823.80199070,0
1659015900000,23000.49000000,23017.13000000,22871.89000000,22954.66000000,1690.14306000,1659016199999,38778967.52496950,47053,856.28390000,19649229.69121650,0
1659016200000,22956.62000000,22982.59000000,22766.08000000,22831.09000000,2046.91559000,1659016499999,46805851.32179080,52642,914.25356000,20903034.68315930,0
1659016500000,22831.09000000,22900.00000000,22806.55000000,22852.26000000,1703.13529000,1659016799999,38925456.43267500,41910,817.57669000,18689574.93470180,0
1659016800000,22854.38000000,22908.54000000,22842.13000000,22864.46000000,1246.11310000,1659017099999,28506109.48260640,35437,656.75618000,15024971.33274130,0
1659017100000,22861.71000000,22887.54000000,22736.79000000,22820.09000000,1463.35746000,1659017399999,33375787.00553410,38252,668.83244000,15254877.95605860,0
1659017400000,22822.23000000,22908.97000000,22800.24000000,22903.38000000,1298.74889000,1659017699999,29679695.76823700,35702,727.64551000,16629995.25934270,0
1659017700000,22903.38000000,22960.00000000,22881.09000000,22916.21000000,1188.49179000,1659017999999,27240556.07411450,33431,602.41785000,13808688.11564380,0
1659018000000,22920.89000000,22933.13000000,22830.82000000,22897.63000000,1033.83020000,1659018299999,23658097.89513150,32490,502.42561000,11498194.26385860,0
1659018300000,22902.05000000,22926.82000000,22834.53000000,22898.12000000,1040.00895000,1659018599999,23799370.76597610,30353,509.98627000,11672326.16926160,0
1659018600000,22898.12000000,22920.16000000,22845.52000000,22897.20000000,918.65830000,1659018899999,21022624.68485510,26898,452.10405000,10346529.32687040,0
1659018900000,22897.20000000,23005.13000000,22894.50000000,22956.49000000,1071.19642000,1659019199999,24603137.90448800,29481,608.77263000,13981606.78692000,0
1659019200000,22958.52000000,23005.00000000,22908.27000000,22983.14000000,880.20983000,1659019499999,20202730.16869470,24800,494.50900000,11352859.08502110,0
1659019500000,22986.90000000,23112.19000000,22961.01000000,23095.30000000,1266.21916000,1659019799999,29174778.02899280,35626,703.49653000,16210670.89873620,0
1659019800000,23097.36000000,23097.88000000,23024.39000000,23065.95000000,734.47712000,1659020099999,16937988.03950240,23527,338.63715000,7809605.34931550,0
1659020100000,23065.95000000,23140.18000000,23028.59000000,23130.78000000,1124.42839000,1659020399999,25966289.62219130,30840,613.72238000,14175466.22046920,0
1659020400000,23130.78000000,23177.75000000,23109.59000000,23129.97000000,1224.09752000,1659020699999,28333381.35502260,30464,645.54305000,14942835.32378860,0
1659020700000,23127.42000000,23183.85000000,23121.95000000,23144.42000000,870.01271000,1659020999999,20144867.42125940,24250,381.05801000,8823596.86370970,0
1659021000000,23144.42000000,23247.29000000,23121.95000000,23237.28000000,918.05826000,1659021299999,21284248.00122240,26977,498.83446000,11567007.87333930,0
1659021300000,23237.28000000,23297.83000000,23192.38000000,23282.31000000,1297.71067000,1659021599999,30158383.05357820,33574,710.13430000,16504893.80872510,0
1659021600000,23282.31000000,23392.34000000,23241.48000000,23381.90000000,1645.70494000,1659021899999,38366358.94286420,37622,1043.78861000,24335954.68294800,0
1659021900000,23377.99000000,23500.00000000,23366.57000000,23494.18000000,2551.72645000,1659022199999,59853790.57280800,63561,1305.65547000,30628072.53229790,0
1659022200000,23498.50000000,23555.00000000,23421.05000000,23532.15000000,1936.60868000,1659022499999,45482145.09040440,42973,1235.24000000,29015019.32052200,0
